title,paper_id,authors
Text detection in natural images with convolutional neural networks and synthetic training data,2748,"Marco Marten Grond, Willie Brink, Ben Herbst "
Efficient curve-sensitive features for offline signature verification,2821,Carlien Fick 
South African Robotics Entity for North-South Collaboration Initiative,2804,"Shaniel Davrajh, Riaan Stopforth, Alexander Ferrein "
Investigating the temporal association between eye actions and smiles,2854,"Moses Rupenga, Hima Bindu Vadapalli "
Objective measures to improve the selection of training speakers in HMM-based child speech synthesis,2765,Avashna Govender 
Reflex Assisted Walking for a Hexapod Robot,2683,Stephen Thomas Marais 
Data fusion of radar and stereo vison for detection and trackong of moving objects,2856,Frik Botha 
Fuzzy Logic Control for Varied Inspection Applications in Advanced Manufacturing Cells,2754,"Trishen Naidoo, Anthony Walker, Glen Bright, Shaniel Davrajh "
Semi-supervised Machine Learning for Textual Anomaly Detection,2816,Carl Frederick Steyn 
Artificial intelligence based optimization algorithm for thermal power generation scheduling incorporating demand response strategy,2797,"Yanxia Sun, Oliver Dzobo "
A Study of Fitness Functions for Data Classification Using Grammatical Evolution,2866,"Tatenda Chareka, Nelishia Pillay "
Syllabification for Afrikaans speech synthesis,2819,Daniel Van Niekerk 
Initialization of the Leapfrog Algorithm For Mobile Robot Path Planning,2820,"Belinda T. Matebese, Daniel J. Withey, Mapundi K. Banda "
Texture Synthesis Using Convolutional Neural Networks With Long-Range Consistency and Spectral Constraints,2859,"Shaun Schreiber, Jaco Geldenhuys, Hendrik de Villiers "
Low Cost Robotic Endoscope Design Considerations,2798,Riaan Stopforth 
Brain Inspired Cognitive Engineering: A Holistic Review,2801,"Amit K Mishra, Jarryd Son "
The prosody of focus and emphasis in Sepedi,2677,Mpho Ivy Raborife 
Automatic Recognition of Micro-expressions using Local Binary Patterns on Three Orthogonal Planes and Extreme Learning Machine,2850,Iyanu Pelumi Adegun 
Robot Programming through Demonstration using Stereoscopic Motion Capturing,2799,"Daniel Jakobus Folscher, Karel Kruger "
Acceleration-based Control of a Quadrotor with a Swinging Payload,2815,"Cameron Carden Taylor, Jacobus A. A. Engelbrecht "
Optimal Attitude and Flight Vector Recovery for Large Transport Aircraft using Sequential Quadratic Programming,2733,"Johannes Jacobus Kotze Engelbrecht, Jacobus Ardriaan Albertus Engelbrecht "
